STOCK #,DRILL SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,BRIGHT FINISH,BLACK OXIDE,TiN COATED
SH50204DB,7/64,0.1094,1/2,1-7/8,SH50204DB,SH50204D,SH50204DTN
SH50205DB,1/8,0.125,1/2,2,SH50205DB,SH50205D,SH50205DTN
SH50206DB,9/64,0.1406,1/2,2,SH50206DB,SH50206D,SH50206DTN
SH50207DB,5/32,0.1562,1/2,2-1/16,SH50207DB,SH50207D,SH50207DTN
SH50209DB,3/16,0.1875,1/2,2-3/16,SH50209DB,SH50209D,SH50209DTN
SH50210DB,13/64,0.2031,1/2,2-3/16,SH50210DB,SH50210D,SH50210DTN
SH50211DB,7/32,0.2188,1/2,2-3/8,SH50211DB,SH50211D,SH50211DTN
SH50213DB,1/4,0.25,1/2,2-1/2,SH50213DB,SH50213D,SH50213DTN
SH60301DB,#1,0.228,1/2,2-1/4,SH60301DB,SH60301D,SH60301DTN
SH60310DB,#10,0.1935,1/2,2-1/4,SH60310DB,SH60310D,SH60310DTN
SH60311DB,#11,0.191,1/2,2-1/4,SH60311DB,SH60311D,SH60311DTN
SH60320DB,#20,0.161,1/2,2-1/8,SH60320DB,SH60320D,SH60320DTN
SH60321DB,#21,0.159,1/2,2,SH60321DB,SH60321D,SH60321DTN
SH60330DB,#30,0.1285,1/2,2,SH60330DB,SH60330D,SH60330DTN
SH60340DB,#40,0.098,1/2,2,SH60340DB,SH60340D,SH60340DTN
