STOCK #,DRILL SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,BRIGHT FINISH,BLACK OXIDE
SH50204SB,7/64,0.1094,1/2,1-7/8,SH50204SB,SH50204S
SH50205SB,1/8,0.125,1/2,1-7/8,SH50205SB,SH50205S
SH50206SB,9/64,0.1406,1/2,2-1/16,SH50206SB,SH50206S
SH50207SB,5/32,0.1562,1/2,2-1/16,SH50207SB,SH50207S
SH50209SB,3/16,0.1875,1/2,2-3/16,SH50209SB,SH50209S
SH50210SB,13/64,0.2031,1/2,2,SH50210SB,SH50210S
SH50211SB,7/32,0.2188,1/2,2,SH50211SB,SH50211S
SH50213SB,1/4,0.25,1/2,2-1/2,SH50213SB,SH50213S
SH60301SB,#1,0.228,1/2,2,SH60301SB,SH60301S
SH60311SB,#11,0.191,1/2,2,SH60311SB,SH60311S
SH60320SB,#20,0.161,1/2,2,SH60320SB,SH60320S
SH60330SB,#30,0.1285,1/2,1-15/16,SH60330SB,SH60330S
