FRACTIONAL SIZE,STOCK #,DECIMAL EQUIV.,LENGTH,NO. OF FLUTES
1/8,CR54007,0.125,7/8,6
9/64,CR54008,0.1406,1,6
5/32,CR54009,0.1562,1,6
11/64,CR54010,0.1719,1-1/8,6
3/16,CR54011,0.1875,1-1/8,6
13/64,CR54012,0.2031,1-1/4,6
7/32,CR54013,0.2188,1-1/4,6
15/64,CR54014,0.2344,1-1/2,6
1/4,CR54015,0.25,1-1/2,6
17/64,CR54016,0.2656,1-1/2,6
9/32,CR54017,0.2812,1-1/2,6
19/64,CR54018,0.2969,1-1/2,6
5/16,CR54019,0.3125,1-1/2,6
21/64,CR54020,0.3281,1-1/2,6
11/32,CR54021,0.3438,1-1/2,6
23/64,CR54022,0.3594,1-3/4,7
3/8,CR54023,0.375,1-3/4,7
A 25/64,CR54024,0.3906,1-3/4,7
13/32,CR54025,0.4062,1-3/4,7
27/64,CR54026,0.4219,1-3/4,7
7/16,CR54027,0.4375,1-3/4,7
29/64,CR54028,0.4531,1-3/4,7
15/32,CR54029,0.4688,1-3/4,7
31/64,CR54030,0.4844,2,8
1/2,CR54031,0.5,2,8
17/32,CR54033,0.5312,2,8
9/16,CR54035,0.5625,2,8
19/32,CR54037,0.5938,2,8
5/8,CR54039,0.625,2-1/4,8
21/32,CR54041,0.6562,2-1/4,8
11/16,CR54042,0.6875,2-1/4,9
23/32,CR54044,0.7188,2-1/4,9
3/4,CR54046,0.75,2-1/2,9-1/2
25/32,CR54048,0.7812,2-1/2,9-1/2
13/16,CR54050,0.8125,2-1/2,9-1/2
27/32,CR54052,0.8438,2-1/2,9-1/2
7/8,CR54054,0.875,2-5/8,10
29/32,CR54056,0.9062,2-5/8,10
15/16,CR54058,0.9375,2-5/8,10
31/32,CR54060,0.9688,2-5/8,10
1,CR54062,1.0,2-3/4,10-1/2
1-1/16,CR54064,1.0625,2-3/4,10-1/2
1-1/8,CR54066,1.125,2-7/8,11
1-3/16,CR54068,1.1875,2-7/8,11
1-1/4,CR54070,1.25,3,11-1/2
1-5/16,CR54072,1.3125,3,11-1/2
1-3/8,CR54074,1.375,3-1/4,12
1-7/16,CR54076,1.4375,3-1/4,12
1-1/2,CR54078,1.5,3-1/2,12-1/2
1-9/16,CR54080,1.5625,3-1/2,12-1/2
1-5/8,CR54082,1.625,3-1/2,13
1-3/4,CR54086,1.75,4,13-1/2
1-7/8,CR54090,1.875,4,14
2,CR54094,2.0,4,14
