SIZE,FLUTE,OVERALL SIZE,FLUTE.1,OVERALL,NO. OF,NO. OF.1,STOCK #
MM,LENGTH,MM,LENGTH,FLUTES,FLUTES,,
2.5,14,57,4,4,CR54701,,
3,15,61,4,4,CR54702,,
3.2,16,65,4,4,CR54703,,
3.5,18,70,4,4,CR54704,,
4,19,75,6,6,CR54705,,
4.5,21,80,6,6,CR54706,,
5,23,86,6,6,CR54707,,
6,26,93,6,6,CR54708,,
7,31,110,6,6,CR54709,,
8,33,117,6,6,CR54710,,
9,36,125,6,6,CR54711,,
10,38,133,6,6,CR54712,,
11,41,142,6,6,CR54713,,
12,44,151,6,6,CR54714,,
13,44,151,6,6,CR54715,,
14,47,160,6,6,CR54716,,
15,50,162,6,6,CR54717,,
16,52,170,8,8,CR54718,,
17,54,175,8,8,CR54719,,
18,56,182,8,8,CR54720,,
19,58,182,8,8,CR54721,,
20,60,195,8,8,CR54722,,
21,60,215,8,8,CR54723,,
22,60,225,8,8,CR54724,,
23,60,230,8,8,CR54725,,
24,60,240,8,8,CR54726,,
