FRACTIONAL,DECIMAL,FLUTE,OVERALL,DECIMAL.1,FLUTE.1,OVERALL.1,STOCK #
SIZE,EQUIV.,LENGTH,LENGTH,EQUIV.,LENGTH,LENGTH,
1/16,.0625,3/8,1-1/2,CRC6001,,,
5/64,.0781,1/2,1-3/4,CRC6002,,,
3/32,.0938,1/2,2,CRC6003,,,
7/64,.1094,5/8,2-1/4,CRC6004,,,
1/8,.1250,5/8,2-1/4,CRC6005,,,
9/64,.1406,3/4,2-1/4,CRC6006,,,
5/32,.1562,3/4,2-1/4,CRC6007,,,
11/64,.1719,7/8,2-3/4,CRC6008,,,
3/16,.1875,7/8,2-3/4,CRC6009,,,
13/64,.2031,1,3,CRC6010,,,
7/32,.2188,1,3,CRC6011,,,
15/64,.2344,1,3,CRC6012,,,
1/4,.2500,1,3,CRC6013,,,
17/64,.2656,1-1/8,3-1/4,CRC6014,,,
9/32,.2812,1-1/8,3-1/4,CRC6015,,,
19/64,.2969,1-1/8,3-1/4,CRC6016,,,
5/16,.3125,1-1/8,3-1/4,CRC6017,,,
21/64,.3281,1-1/4,3-1/2,CRC6018,,,
11/32,.3438,1-1/4,3-1/2,CRC6019,,,
23/64,.3594,1-1/4,3-1/2,CRC6020,,,
3/8,.3750,1-1/4,3-1/2,CRC6021,,,
13/32,.4062,1-1/4,3-1/2,CRC6022,,,
7/16,.4375,1-3/8,4,CRC6023,,,
1/2,.5000,1-1/2,4,CRC6024,,,
