Stock #," ""Size"""," ""Point"""," ""Flute"""," ""Overall Morse"""," ""Spiral"""," ""Straight"""
BR54505," ""5/16"""," ""11/64"""," ""4-3/8"""," ""8-1/4"""," ""2"""," ""BR66505"""
BR54506," ""13/32"""," ""7/32"""," ""4-3/8"""," ""8-1/4"""," ""2"""," ""BR66506"""
BR54507," ""7/16"""," ""17/64"""," ""4-3/8"""," ""8-1/4"""," ""2"""," ""BR66507"""
BR54508," ""15/32"""," ""9/32"""," ""5-1/8"""," ""9"""," ""2"""," ""BR66508"""
BR54509," ""1/2"""," ""5/16"""," ""5-1/8"""," ""9"""," ""2"""," ""BR66509"""
BR54510," ""17/32"""," ""11/32"""," ""5-1/8"""," ""9"""," ""2"""," ""BR66510"""
BR54511," ""9/16"""," ""3/8"""," ""5-1/8"""," ""9"""," ""2"""," ""BR66511"""
BR54512," ""5/8"""," ""25/64"""," ""6-1/8"""," ""10"""," ""2"""," ""BR66512"""
BR54513," ""11/16"""," ""13/32"""," ""7-1/8"""," ""11-3/4"""," ""3"""," ""BR66513"""
BR54514," ""3/4"""," ""15/32"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66514"""
BR54515," ""13/16"""," ""35/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66515"""
BR54516," ""7/8"""," ""39/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66516"""
BR54517," ""15/16"""," ""43/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66517"""
BR54518," ""1"""," ""47/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66518"""
BR54519," ""1-1/16"""," ""13/16"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66519"""
BR54520," ""1-1/8"""," ""55/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66520"""
BR54521," ""1-3/16"""," ""59/64"""," ""7-3/8"""," ""12"""," ""3"""," ""BR66521"""
BR54522," ""1-1/4"""," ""63/64"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66522"""
BR54523," ""1-5/16"""," ""1-1/16"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66523"""
BR54524," ""1-3/8"""," ""1-1/8"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66524"""
BR54525," ""1-7/16"""," ""1-3/16"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66525"""
BR54526," ""1-1/2"""," ""1-1/4"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66526"""
BR54527," ""1-9/16"""," ""1-1/4"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66527"""
BR54528," ""1-5/8"""," ""1-3/8"""," ""7-3/8"""," ""13"""," ""4"""," ""BR66528"""
BR54529," ""1-11/16"""," ""1-3/8"""," ""7-3/8"""," ""13"""," ""4"""," """""
BR54530," ""1-3/4"""," ""1-7/16"""," ""7-3/8"""," ""13"""," ""4"""," """""
BR54531," ""1-13/16"""," ""1-7/16"""," ""7-3/8"""," ""13"""," ""4"""," """""
BR54532," ""1-7/8"""," ""1-1/2"""," ""7-3/8"""," ""13"""," ""4"""," """""
BR54533," ""1-15/16"""," ""1-1/2"""," ""7-3/8"""," ""13"""," ""4"""," """""
BR54534," ""2"""," ""1-3/4"""," ""7-3/8"""," ""13"""," ""4"""," """""
1," ""per"""," ""pack"""," """""," """""," """""," """""
