DIA.,LENGTH,LENGTH.1,FLUTES,STOCK #
1/8,1-1/2,3,4,HR74351
5/32,1-5/8,3-1/4,6,HR74352
3/16,1-3/4,3-1/2,6,HR74353
7/32,1-7/8,3-3/4,6,HR74354
1/4,2,4,6,HR74355
9/32,2-1/8,4-1/4,6,HR74356
5/16,2-1/4,4-1/2,6,HR74357
11/32,2-3/8,4-3/4,6,HR74358
3/8,2-1/2,5,6,HR74359
13/32,2-5/8,5-1/4,6,HR74360
7/16,2-3/4,5-1/2,6,HR74361
15/32,2-7/8,5-3/4,6,HR74362
31/64,3,6,6,HR74363
1/2,3,6,6,HR74364
17/32,3-1/8,6-1/4,6,HR74365
9/16,3-1/4,6-1/2,6,HR74366
19/32,3-3/8,6-3/4,6,HR74367
5/8,3-1/2,7,6,HR74368
21/32,3-11/16,7-3/8,8,HR74369
11/16,3-7/8,7-3/4,8,HR74370
23/32,4-1/16,8-1/8,8,HR74371
3/4,4-3/16,8-3/8,8,HR74372
25/32,4-3/8,8-3/4,8,HR74373
13/16,4-9/16,9-1/8,8,HR74374
27/32,4-11/16,9-3/8,8,HR74375
7/8,4-7/8,9-3/4,8,HR74376
29/32,5,10,8,HR74377
15/16,5-1/8,10-1/4,8,HR74378
31/32,5-5/16,10-5/8,8,HR74379
7/8,4-7/8,9-3/4,8,HR74380
15/16,5-1/8,10-1/4,8,HR74381
31/32,5-5/16,10-5/8,8,HR74382
1,5-7/16,10-7/8,8,HR74383
1-1/16,5-5/8,11-1/4,10,HR74384
1-1/8,5-13/16,11-5/8,10,HR74385
1-3/16,6,12,10,HR74386
1-1/4,6-1/8,12-1/4,10,HR74387
1-5/16,6-1/4,12-1/2,10,HR74388
1-3/8,6-5/16,12-5/8,12,HR74389
1-7/16,6-7/16,12-7/8,12,HR74390
