DIA.,LENGTH,LENGTH.1,FLUTES,STOCK #
1/8,1-1/2,3,4,HR74301
5/32,1-5/8,3-1/4,6,HR74302
11/64,1-3/4,3-1/2,6,HR74303
3/16,1-3/4,3-1/2,6,HR74304
7/32,1-7/8,3-3/4,6,HR74305
1/4,2,4,6,HR74306
9/32,2-1/8,4-1/4,6,HR74307
5/16,2-1/4,4-1/2,6,HR74308
11/32,2-3/8,4-3/4,6,HR74309
3/8,2-1/2,5,6,HR74310
25/64,2-1/2,4-3/4,6,HR74311
13/32,2-5/8,5-1/4,6,HR74312
7/16,2-3/4,5-1/2,6,HR74313
15/32,2-7/8,5-3/4,6,HR74314
31/64,3,6,6,HR74315
1/2,3,6,6,HR74316
17/32,3-1/8,6-1/4,6,HR74317
9/16,3-1/4,6-1/2,6,HR74318
19/32,3-3/8,6-3/4,6,HR74319
5/8,3-1/2,7,6,HR74320
21/32,3-11/16,7-3/8,8,HR74321
11/16,3-7/8,7-3/4,8,HR74322
23/32,4-1/16,8-1/8,8,HR74323
3/4,4-3/16,8-3/8,8,HR74324
25/32,4-3/8,8-3/4,8,HR74325
13/16,4-9/16,9-1/8,8,HR74326
27/32,4-11/16,9-3/8,8,HR74327
7/8,4-7/8,9-3/4,8,HR74328
29/32,5,10,8,HR74329
15/16,5-1/8,10-1/4,8,HR74330
31/32,5-5/16,10-5/8,8,HR74331
1,5-7/16,10-7/8,8,HR74332
1-1/16,5-5/8,11-1/4,10,HR74333
1-1/8,5-13/16,11-5/8,10,HR74334
1-3/16,6,12,10,HR74335
1-1/4,6-1/8,12-1/4,10,HR74336
1-5/16,6-1/4,12-1/2,10,HR74337
1-3/8,6-5/16,12-5/8,12,HR74338
1-7/16,6-7/16,12-7/8,12,HR74339
1-1/2,6-1/2,13,12,HR74340
