FLUTE SHANK,SIZE,OAL,END,END.1,STRAIGHT,SPIRAL,HELIACL
1-3/16,2-3/16,7/64,0.0719,0.0966,TPR3012,-,-
1-5/16,2-5/16,1/8,0.0869,0.1142,TPR3013,TPR4013,-
1-5/16,2-5/16,9/64,0.1029,0.1302,TPR3014,TPR4014,-
1-9/16,2-9/16,5/32,0.1137,0.1462,TPR3015,TPR4015,-
1-11/16,2-15/16,11/64,0.1287,0.1638,TPR3016,TPR4016,TPR5016
1-11/16,2-15/16,3/16,0.1447,0.1798,TPR3017,TPR4017,TPR5017
1-15/16,3-3/16,13/64,0.1605,0.2006,TPR3018,TPR4018,TPR5018
2-5/16,3-11/16,15/64,0.1813,0.2294,TPR3019,TPR4019,TPR5019
2-9/16,4-1/16,17/64,0.2071,0.2604,TPR3020,TPR4020,TPR5020
2-13/16,4-5/16,5/16,0.2409,0.2994,TPR3021,TPR4021,TPR5021
3-11/16,5-7/16,23/64,0.2773,0.354,TPR3022,TPR4022,TPR5022
4-7/16,6-5/16,13/32,0.3297,0.422,TPR3023,TPR4023,TPR5023
5-3/16,7-3/16,7/16,0.3971,0.505,TPR3024,TPR4024,TPR5024
6-1/16,8-5/16,9/16,0.4805,0.6066,TPR3025,TPR4025,TPR5025
6-13/16,9-5/16,5/8,0.5799,0.7216,TPR3026,TPR4026,TPR5026
8-1/4,11-1/4,3/4,0.706,0.878,TPR3027,TPR4027,TPR5027
10,13-5/8,7/8,0.842,1.05,TPR3028,TPR4028,TPR5028
12,16,1-1/4,1.009,1.259,TPR3029,TPR4029,TPR5029
14,18-1/4,1-1/2,1.25,1.542,TPR3030,TPR4030,TPR5030
