REAMER SIZE,DECIMAL EQUIV.,SHANK DIA.,POINT DIA.,FLUTE LENGTH,OVERALL LENGTH,STOCK #
0.25,1/2,—,5/32,2-1/2,4-3/8,CR54547
0.3125,1/2,—,3/16,2-3/4,4-5/8,CR54548
0.375,3/8,13/64,15/64,3,5,CRB10049 CR54549
0.4375,7/16,1/4,1/4,3-3/16,5-1/4,CRB10050 CR54550
0.5,1/2,1/4,5/16,3-5/8,5-15/16,CRB10051 CR54551
0.5625,1/2,5/16,5/16,3-5/8,5-15/16,CRB10052 CR54552
0.625,1/2,3/8,5/16,4-1/4,6-9/16,CRB10053 CR54553
0.652,1/2,3/8,5/16,4-1/4,6-9/16,CRB10053A CR54553A
0.6875,1/2,7/16,3/8,4-1/4,6-9/16,CRB10054 CR54554
0.75,1/2,1/2,1/2,4-9/16,7,CRB10055 CR54555
0.776,1/2,1/2,1/2,4-9/16,7,CRB10055A CR54555A
0.8125,1/2,9/16,9/16,4-9/16,7,CRB10056 CR54556
0.875,1/2,5/8,5/8,4-9/16,7-1/4,CRB10057 CR54557
0.9375,1/2,11/16,11/16,4-9/16,7-1/4,CRB10058 CR54558
1.0,1/2,3/4,3/4,4-9/16,7-1/4,CRB10059 CR54559
1.0625,1/2,13/16,13/16,4-9/16,7-1/4,CRB10060 CR54560
