REAMER SIZE,DECIMAL EQUIV.,SHANK DIA.,POINT DIA.,FLUTE LENGTH,OVERALL LENGTH,STOCK #
3/8,0.375,7/16,15/64,3,5,CRML54549
7/16,0.4375,7/16,1/4,3-3/16,5-1/4,CRML54550
1/2,0.5,7/16,5/16,3-5/8,5-15/16,CRML54551
9/16,0.5625,7/16,5/16,3-5/8,5-15/16,CRML54552
5/8,0.625,7/16,5/16,4-1/4,6-9/16,CRML54553
11/16,0.6875,7/16,3/8,4-1/4,6-9/16,CRML54554
3/4,0.75,7/16,1/2,4-9/16,7,CRML54555
13/16,0.8125,7/16,9/16,4-9/16,7,CRML54556
7/8,0.875,7/16,5/8,4-9/16,7-1/4,CRML54557
15/16,0.9375,7/16,11/16,4-9/16,7-1/4,CRML54558
1,1.0,7/16,3/4,4-9/16,7-1/4,CRML54559
