NO.," ""DIA."""," ""DIA."".1"," ""LENGTH"""," ""ALFA USA"""," ""ALFA USA"".1"
0," ""0.020"""," ""1/8"""," ""1-1/4"""," ""CDCK50448"""," ""-"""
0," ""0.025"""," ""1/8"""," ""1-1/4"""," ""CDCK50449"""," ""-"""
0," ""1/32"""," ""1/8"""," ""1-1/4"""," ""CDCK50450"""," ""CDTC50450"""
1," ""3/64"""," ""1/8"""," ""1-1/4"""," ""CDCK50451"""," ""CDTC50451"""
2," ""5/64"""," ""3/16"""," ""1-7/8"""," ""CDCK50452"""," ""CDTC50452"""
3," ""7/64"""," ""1/4"""," ""2"""," ""CDCK50453"""," ""CDTC50453"""
4," ""1/8"""," ""5/16"""," ""2-1/8"""," ""CDCK50454"""," ""CDTC50454"""
5," ""3/16"""," ""7/16"""," ""2-3/4"""," ""CDCK50455"""," ""CDTC50455"""
6," ""7/32"""," ""1/2"""," ""3"""," ""CDCK50456"""," ""CDTC50456"""
7," ""1/4"""," ""5/8"""," ""3-1/4"""," ""CDCK50457"""," ""-"""
8," ""5/16"""," ""3/4"""," ""3-1/2"""," ""CDCK50458"""," ""-"""
