NO.," ""DIA."""," ""DIA."".1"," ""LENGTH"""," ""ALFA USA"""," ""ECO-PRO"""
0," ""0.020"""," ""1/8"""," ""1-1/4"""," ""CDHK50448"""," ""CDH50448"""
0," ""0.025"""," ""1/8"""," ""1-1/4"""," ""CDHK50449"""," ""CDH50449"""
0," ""1/32"""," ""1/8"""," ""1-1/4"""," ""CDHK50450"""," ""CDH50450"""
1," ""3/64"""," ""1/8"""," ""1-1/4"""," ""CDHK50451"""," ""CDH50451"""
2," ""5/64"""," ""3/16"""," ""1-7/8"""," ""CDHK50452"""," ""CDH50452"""
3," ""7/64"""," ""1/4"""," ""2"""," ""CDHK50453"""," ""CDH50453"""
4," ""1/8"""," ""5/16"""," ""2-1/8"""," ""CDHK50454"""," ""CDH50454"""
5," ""3/16"""," ""7/16"""," ""2-3/4"""," ""CDHK50455"""," ""CDH50455"""
6," ""7/32"""," ""1/2"""," ""3"""," ""CDHK50456"""," ""CDH50456"""
7," ""1/4"""," ""5/8"""," ""3-1/4"""," ""CDHK50457"""," ""CDH50457"""
8," ""5/16"""," ""3/4"""," ""3-1/2"""," ""CDHK50458"""," ""CDH50458"""
6," ""7/32"""," ""1/2"""," ""5"""," ""CDK50482"""," ""CD50482"""
6," ""7/32"""," ""1/2"""," ""6"""," ""CDK50483"""," ""CD50483"""
7," ""1/4"""," ""5/8"""," ""6"""," ""CDK50484"""," ""CD50484"""
8," ""5/16"""," ""3/4"""," ""6"""," ""CDK50485"""," ""CD50485"""
