DIA.,BODY DIA.,SHANK DIA.,OVERALL LENGTH,ECO PRO STOCK #,ECO PRO STOCK # CD,ECO PRO STOCK # A,ECO PRO STOCK # B,ECO PRO STOCK # C
3/16,3/16,1-1/2,CSF50521,CSF50521CD,CSF50521A,CSF50521B,CSF50521C,
1/4,1/4,2,CSF50522,CSF50522CD,CSF50522A,CSF50522B,CSF50522C,
5/16,1/4,2,CSF50523,CSF50523CD,CSF50523A,CSF50523B,CSF50523C,
3/8,1/4,2,CSF50524,CSF50524CD,CSF50524A,CSF50524B,CSF50524C,
1/2,1/4,2,CSF50525,CSF50525CD,CSF50525A,CSF50525B,CSF50525C,
5/8,1/2,2-3/4,CSF50526,CSF50526CD,CSF50526A,CSF50526B,CSF50526C,
3/4,1/2,2-3/4,CSF50527,CSF50527CD,CSF50527A,CSF50527B,CSF50527C,
7/8,1/2,2-3/4,CSF50528,CSF50528CD,CSF50528A,CSF50528B,CSF50528C,
1,1/2,2-3/4,CSF50529,CSF50529CD,CSF50529A,CSF50529B,CSF50529C,
1-1/4,3/4,3-3/8,CSF50530,CSF50530CD,CSF50530A,CSF50530B,CSF50530C,
1-1/2,3/4,3-1/2,CSF50531,CSF50531CD,CSF50531A,CSF50531B,CSF50531C,
2,3/4,3-3/4,CSF50532,CSF50532CD,CSF50532A,CSF50532B,CSF50532C,
