Unnamed: 0,A,B,STOCK #,82O,60O,90O,Center Reamer
1/4,1/4,2,C6F50547,C6F50547A,C6F50547B,,
5/16,1/4,2,C6F50548,C6F50548A,C6F50548B,,
A,3/8,1/4,2,C6F50549,C6F50549A,C6F50549B,Chatterless
1/2,1/4,2,C6F50550,C6F50550A,C6F50550B,Countersink,
5/8,1/2,2-3/4,C6F50551,C6F50551A,C6F50551B,,
3/4,1/2,2-3/4,C6F50552,C6F50552A,C6F50552B,,
7/8,1/2,2-3/4,C6F50553,C6F50553A,C6F50553B,,
1,1/2,2-3/4,C6F50554,C6F50554A,C6F50554B,,
1-1/4,3/4,3-3/8,C6F50555,C6F50555A,C6F50555B,,
1-1/2,3/4,3-1/2,C6F50556,C6F50556A,C6F50556B,,
1-3/4,1,4-1/4,C6F50557,C6F50557A,C6F50557B,,
2,1,4-3/8,C6F50558,C6F50558A,C6F50558B,,
