BODY DIA.,SHANK DIA.,OVERALL LENGTH,82O,60O,90O
1/8,1/8,1-1/2,CC1F68220,CC1F66020,CC1F69020
3/16,3/16,2,CC1F68221,CC1F66021,CC1F69021
1/4,1/4,2,CC1F68222,CC1F66022,CC1F69022
3/8,1/4,2-5/8,CC1F68224,CC1F66024,CC1F69024
1/2,1/4,2-7/8,CC1F68225,CC1F66025,CC1F69025
5/8,3/8,3,CC1F68226,CC1F66026,CC1F69026
3/4,1/2,3,CC1F68227,CC1F66027,CC1F69027
1,1/2,2-3/4,CC1F68229,CC1F66029,CC1F69029
1/8,1/8,1-1/2,CC3F68231,CC3F66031,CC3F69031
3/16,3/16,2,CC3F68232,CC3F66032,CC3F69032
1/4,1/4,2,CC3F68233,CC3F66033,CC3F69033
3/8,1/4,2-5/8,CC3F68234,CC3F66034,CC3F69034
1/2,1/4,2-7/8,CC3F68235,CC3F66035,CC3F69035
5/8,3/8,3,CC3F68236,CC3F66036,CC3F69036
3/4,1/2,3,CC3F68237,CC3F66037,CC3F69037
1,1/2,2-3/4,CC3F68238,CC3F66038,CC3F69038
1/8,1/8,1-1/2,CC6F68245,CC6F66045,CC6F69045
3/16,3/16,2,CC6F68246,CC6F66046,CC6F69046
1/4,1/4,2,CC6F68247,CC6F66047,CC6F69047
3/8,1/4,2-5/8,CC6F68249,CC6F66049,CC6F69049
1/2,1/4,2-7/8,CC6F68250,CC6F66050,CC6F69050
5/8,3/8,3,CC6F68251,CC6F66051,CC6F69051
3/4,1/2,3,CC6F68252,CC6F66052,CC6F69052
1,1/2,2-3/4,CC6F68254,CC6F66054,CC6F69054
