SIZE,CAPACITY,STOCK #,MOUNT,KEY #,SIZE.1,MIN.,MAX.,JACOBS,LFA
—,—,TAPER MOUNTED - HEAVY DUTY,—,—,—,—,—,,
1/8,0 .125,5/8,0.625,3JT K3,JC6223,LFA84635,,,
—,—,—,—,—,JC6228,LFA45309,,,
3/16,0 .180,13/16,0.750,3JT K4/K31,JC6309,LFA45308,,,
—,—,THREAD MOUNTED - HEAVY DUTY,—,—,—,—,—,,
1/8,0 .125,5/8,0.625,5/8-16 K4 / K31,JC6232,LFA84659,,,
—,—,THREAD MOUNTED - MEDIUM DUTY,—,—,—,—,—,,
3/64,0 .040,3/8,0.375,3/8-24 K2,JC6219,LFA82235,,,
—,—,—,—,—,JC31090,LFA82518,,,
5/64,0 .080,1/2,0.500,1/2-20 K32,JC6287,LFA43229,,,
—,—,—,—,—,JC6283,LFA43380,,,
