DIA.,OUTSIDE DIA.,WIDTH,SCREW,STOCK #
"1/8""","3/8""","1/4""",#6-32,DC001
"3/16""","1/2""","1/2""",#10-32,DC015
"1/4""","5/8""","3/8""",#10-32,DC002
"5/16""","5/8""","3/8""",#10-32,DC025
"3/8""","3/4""","7/16""","1/4""-28",DC003
"7/16""","7/8""","1/2""","1/4""-28",DC035
"1/2""","7/8""","1/2""","1/4""-28",DC004
"5/8""","1-1/8""","1/2""","1/4""-28",DC005
"3/4""","1-1/4""","1/2""","5/16""-18",DC006
"7/8""","1-3/8""","9/16""","5/16""-18",DC007
"1""","1-1/2""","9/16""","5/16""-18",DC008
"1-1/8""","1-3/4""","9/16""","5/16""-18",DC009
