COATING/POINT,BRAND STOCK #,FINISH ANGLE
HSS BLITZ NITRIDE,BBN74592,Black & Silver 135O Split Pt.
HSS 3-FLATTED,SFL50192,Black Oxide 135O Split Pt.
HSS BLITZ BITS,BB74197,Black & Gold 135O Split Pt.
HSS BLITZ BITS,BB74192,Black & Gold 135O Split Pt.
HIGH-SPEED STEEL,J150197,Black Oxide 118O Point
HIGH-SPEED STEEL,J150192,Black Oxide 118O Point
HIGH-SPEED STEEL,J150197B,Bright Finish 118O Point
HIGH-SPEED STEEL,J150192B,Bright Finish 118O Point
HIGH-SPEED STEEL,S150197,Black Oxide 135O Split Pt.
HIGH-SPEED STEEL,S150192,Black Oxide 135O Split Pt.
HIGH-SPEED STEEL,S150197B,Bright Finish 135O Split Pt.
HIGH-SPEED STEEL,S150192B,Bright Finish 135O Split Pt.
HIGH-SPEED STEEL,JDL50197,Bright Finish 118O Pt. Left Hand
HIGH-SPEED STEEL,JDL50192,Bright Finish 118O Pt. Left Hand
HIGH-SPEED STEEL,J250197,Black Oxide 118O Point Eco Pro
HIGH-SPEED STEEL,J250192,Black Oxide 118O Point Eco Pro
HIGH-SPEED STEEL,S250197,Black Oxide 135O Split Pt. Eco Pro
HIGH-SPEED STEEL,S250192,Black Oxide 135O Split Pt. Eco Pro
HSS TiN COATED,J150197TN,Gold Finish 118O Point
HSS TiN COATED,J150192TN,Gold Finish 118O Point
HSS TiN COATED,S150197TN,Gold Finish 135O Split Pt.
HSS TiN COATED,S150192TN,Gold Finish 135O Split Pt.
HSS TiN TIPPED,S40192TT,TiN Tipped 135O Split Pt. Eco Pro
COBALT,CO50197,Straw Gold 135O Split Pt.
COBALT,CO50192,Straw Gold 135O Split Pt.
COBALT,JDLCO93197,Straw Gold 135O Sp Pt. Left Hand
COBALT,JDLCO93192,Straw Gold 135O Sp Pt. Left Hand
SOLID CARBIDE,ST50192,Bright Finish 118O Point
