Drill Size,Brand,Stock #,Coating/Point,Finish Angle
"1/16-1/2"" by 64ths""",HSS BLITZ® NITRIDE,BBN74590,Black & Silver,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS 3-FLATTED HIGH-SPEED STEEL,SFL50190,Black Oxide,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS BLITZ BITS,BB74191,Black & Gold,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS 3-FLATTED HIGH-SPEED STEEL,J150191,Bright Finish,118O Point
"1/16-1/2"" by 64ths""",HSS BLITZ BITS,S150191,Black Oxide,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS BLITZ BITS,S150191B,Bright Finish,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS 3-FLATTED HIGH-SPEED STEEL,JDL50191,Bright Finish,118O Pt. Left Hand
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,J250191,Black Oxide,118O Point
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,S250191,Black Oxide,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS TiN COATED,J150191TN,Gold Finish,118O Point
"1/16-1/2"" by 64ths""",HSS TiN COATED,S150191TN,Gold Finish,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS TiN TIPPED,S40191TT,TiN Tipped,135O Split Pt.
"1/16-1/2"" by 64ths""",COBALT,CO50191,Straw Gold,135O Split Pt.
