BRAND STOCK #,COATING / POINT,FINISH ANGLE
Alfa USA BBML74290DM,BLITZ BITS® MECHANICʼS LENGTH,Black & Gold 135O Split Pt.
Alfa USA BBML74290RDM,BLITZ BITS® MECHANICʼS LENGTH,Black & Gold 135O Split Pt.
Alfa USA BBN74590DM,HSS BLITZ® NITRIDE,Black & Silver 135O Split Pt.
Alfa USA SFL50190DM,HSS 3-FLATTED,Black Oxide 135O Split Pt.
Alfa USA BB74190DM,HSS BLITZ BITS®,Black & Gold 135O Split Pt.
Alfa USA J150190DM,HIGH-SPEED STEEL,Black Oxide 118O Point
Alfa USA J150190BDM,HIGH-SPEED STEEL,Bright Finish 118O Point
Alfa USA S150190DM,HIGH-SPEED STEEL,Black Oxide 135O Split Pt.
Alfa USA S150190BDM,HIGH-SPEED STEEL,Bright Finish 135O Split Pt.
Alfa USA J250190DM,HIGH-SPEED STEEL,Black Oxide 118O Point
Alfa USA S250190DM,HIGH-SPEED STEEL,Black Oxide 135O Split Pt.
Alfa USA J150190TNDM,HSS TiN COATED,Gold Finish 118O Point
Alfa USA S150190TNDM,HSS TiN COATED,Gold Finish 135O Split Pt.
Alfa USA S40190TTDM,HSS TiN TIPPED,TiN Tipped 135O Split Pt.
Alfa USA CO50190DM,COBALT,Straw Gold 135O Split Pt.
