SET,COATING / FINISH,SHANK TYPE,STOCK #,Q T Y .,DESCRIPTION,STOCK #.1
CR54565,,HSS BLITZ BITS HIGH-SPEED STEEL,ALFA USA,,MBS3,
CRB10065,Black & Gold Finish,"1/2"" Shank",ALFA USA,,MBS13,
,,,ALFA USA,,MBS14,
CR54565,Black & Gold Finish,"1/2"" Shank",ALFA USA,,MBS16,
,,,ALFA USA,,MBS17,
CRML54565,Black & Gold Finish,Monolock,ALFA USA,,,
MBS3TN,HSS TiN COATED,,ALFA USA,,MBS3TN,
MBS13TN,,,ALFA USA,,MBS13TN,
,,,ALFA USA,,MBS14TN,
MBS15TN,,,ALFA USA,,MBS15TN,
,,,ALFA USA,,MBS16TN,
,,,ALFA USA,,MBS17TN,
MD1099,,,,,,
