SIZE,DECIMAL EQUIV,FLUTE LENGTH,OVERALL LENGTH,,OVERALL,ALFA USA,BRIGHT FINISH,DECIMAL.1,FLUTE.1,OVERALL.1,ALFA USA.1
1/64,A,0.0156,3/16,3/4,J150097,0.234,2-5/8,3-7/8,J160201,,
1/32,B,0.0312,1/2,1-3/8,J150098,0.238,2-3/4,4,J160202,,
3/64,C,0.0469,3/4,1-3/4,J150099,0.242,2-3/4,4,J160203,,
1/16,D,0.0625,7/8,1-7/8,J150101,0.246,2-3/4,4,J160204,,
5/64,E,0.0781,1,2,J150102,0.25,2-3/4,4,J160205,,
3/32,F,0.0938,1-1/4,2-1/4,J150103,0.257,2-7/8,4-1/8,J160206,,
7/64,G,0.1094,1-1/2,2-5/8,J150104,0.261,2-7/8,4-1/8,J160207,,
1/8,H,0.125,1-5/8,2-3/4,J150105,0.266,2-7/8,4-1/8,J160208,,
9/64,I,0.1406,1-3/4,2-7/8,J150106,0.272,2-7/8,4-1/8,J160209,,
5/32,J,0.1562,2,3-1/8,J150107,0.277,2-7/8,4-1/8,J160210,,
11/64,K,0.1719,2-1/8,3-1/4,J150108,0.281,2-15/16,4-1/4,J160211,,
3/16,L,0.1875,2-5/16,3-1/2,J150109,0.29,2-15/16,4-1/4,J160212,,
13/64,M,0.2031,2-7/16,3-5/8,J150110,0.295,3-1/16,4-3/8,J160213,,
A,7/32,0.2188,2-1/2,3-3/4,J150111,0.302,3-1/16,4-3/8,J160214,,
15/64,N,0.2344,2-5/8,3-7/8,J150112,0.316,3-3/16,4-1/2,J160215,,
1/4,O,0.25,2-3/4,4,J150113,0.323,3-5/16,4-5/8,J160216,,
17/64,P,0.2656,2-7/8,4-1/8,J150114,0.332,3-7/16,4-3/4,J160217,,
9/32,Q,0.2812,2-15/16,4-1/4,J150115,0.339,3-7/16,4-3/4,J160218,,
19/64,R,0.2969,3-1/16,4-3/8,J150116,0.348,3-1/2,4-7/8,J160219,,
5/16,S,0.3125,3-3/16,4-1/2,J150117,0.358,3-1/2,4-7/8,J160220,,
21/64,T,0.3281,3-5/16,4-5/8,J150118,0.368,3-5/8,5,J160221,,
11/32,U,0.3438,3-7/16,4-3/4,J150119,0.377,3-5/8,5,J160222,,
23/64,V,0.3594,3-1/2,4-7/8,J150120,0.386,3-3/4,5-1/8,J160223,,
3/8,W,0.375,3-5/8,5,J150121,0.397,3-3/4,5-1/8,J160224,,
25/64,X,0.3906,3-3/4,5-1/8,J150122,0.404,3-7/8,5-1/4,J160225,,
13/32,Y,0.4062,3-7/8,5-1/4,J150123,0.413,3-7/8,5-1/4,J160226,,
27/64,Z,0.4219,3-15/16,5-3/8,J150124,,,,,,
7/16,,0.4375,4-1/16,5-1/2,J150125,,,,,,
29/64,,0.4531,4-3/16,5-5/8,J150126,,,,,,
15/32,,0.4688,4-5/16,5-3/4,J150127,,,,,,
31/64,,0.4844,4-3/8,5-7/8,J150128,,,,,,
1/2,,0.5,4-1/2,6,J150129,,,,,,
33/64,,0.5156,4-13/16,6-5/8,J150130,,,,,,
17/32,,0.5312,4-13/16,6-5/8,J150131,,,,,,
35/64,,0.5469,4-13/16,6-5/8,J150132,,,,,,
9/16,,0.5625,4-13/16,6-5/8,J150133,,,,,,
37/64,,0.5781,4-13/16,6-5/8,J150134,,,,,,
19/32,,0.5938,5-3/16,7-1/8,J150135,,,,,,
39/64,,0.6094,5-3/16,7-1/8,J150136,,,,,,
5/8,,0.625,5-3/16,7-1/8,J150137,,,,,,
41/64,,0.6406,5-3/16,7-1/8,J150138,,,,,,
21/32,,0.6562,5-3/16,7-1/8,J150139,,,,,,
43/64,,0.6719,5-5/8,7-5/8,J150140,,,,,,
11/16,,0.6875,5-5/8,7-5/8,J150141,,,,,,
