DIA. INCH,DIA. MM,TYPE,PIPE DIA.,PIPE TYPE,R.P.M.,ARbor SIZE,TAP SIZE,STOCK #
5/8,16,TYPE A,550,365,HOSA62502,,,
3/4,19,TYPE A,460,300,HOSA62504,,,
7/8,22,TYPE A,390,260,HOSA62506,,,
1,25,TYPE A,350,235,HOSA62508,,,
1-1/8,29,TYPE A,300,200,HOSA62510,,,
1-1/4,32,TYPE A,275,180,HOSA62512,,,
1-3/8,35,TYPE A,250,165,HOSA62514,,,
1-1/2,38,TYPE A,230,150,HOSA62516,,,
1-5/8,41,TYPE A,210,140,HOSA62518,,,
1-3/4,44,TYPE A,195,130,HOSA62520,,,
1-7/8,48,TYPE A,180,120,HOSA62522,,,
2,51,TYPE A,170,115,HOSA62524,,,
2-1/8,54,TYPE A,160,105,HOSA62526,,,
2-1/4,57,TYPE A,150,100,HOSA62528,,,
2-3/8,60,TYPE A,140,95,HOSA62530,,,
2-1/2,64,TYPE A,135,90,HOSA62532,,,
2-5/8,67,TYPE B,130,85,HOSA62534,,,
2-3/4,70,TYPE B,125,80,HOSA62536,,,
2-7/8,73,TYPE B,120,80,HOSA62538,,,
3,76,TYPE A,115,75,HOSA62540,,,
3-1/4,83,TYPE A,105,70,HOSA62544,,,
3-1/2,89,TYPE A,95,65,HOSA62548,,,
3-3/4,95,TYPE A,90,60,HOSA62552,,,
4,102,TYPE A,85,55,HOSA62556,,,
4-1/2,114,TYPE A,75,50,HOSA62560,,,
5,127,TYPE A,65,45,HOSA62564,,,
5-1/2,140,TYPE A,60,40,HOSA62568,,,
6,152,TYPE A,55,35,HOSA62572,,,
