Size,Mild Cast,Tool & Steel,Iron,S.S.
580,400,300,790,900
550,365,275,730,825
500,330,250,665,750
460,300,230,600,690
425,280,210,560,635
390,260,195,520,585
370,245,185,495,555
350,235,175,470,525
325,215,160,435,480
300,200,150,400,450
285,190,145,380,425
275,180,140,360,410
260,175,135,345,390
250,165,125,330,375
240,160,120,315,360
230,150,115,300,345
120,80,60,160,180
170,115,85,230,255
165,110,80,220,245
160,105,80,210,240
155,105,75,205,235
150,100,75,200,225
145,100,75,195,225
140,95,70,190,220
135,90,65,180,205
130,85,65,175,200
130,85,65,170,195
125,80,60,160,185
120,80,60,160,180
115,75,55,150,170
110,70,55,140,165
105,70,50,140,155
100,65,50,130,150
95,65,45,130,145
95,60,45,120,140
90,60,45,120,135
90,60,45,120,135
85,55,40,110,130
80,55,40,110,120
80,55,40,110,120
75,50,35,100,105
75,50,35,95,95
65,45,30,90,90
60,40,25,85,85
55,35,25,75,75
55,35,25,75,75
