DIA. INCH,DIA. MM,ARBOR TYPE,ARBOR SIZE,TAP SIZE,ENT. STOCK #
3/4,19,3/8,HOSA,73204,
7/8,22,TYPE A,3/4,1/2,HOSA73206
1,25,,HOSA62590,HOSA73208,
1-1/8,29,1,3/4,HOSA73210,
1-1/4,32,,,HOSA73212,
1-3/8,35,1,,HOSA73214,
1-1/2,38,1-1/4,,HOSA73216,
1-5/8,41,,,HOSA73218,
1-3/4,44,1-1/2,1-1/4,HOSA73220,
1-7/8,48,,,HOSA73222,
2,51,1-1/2,,HOSA73224,
2-1/8,54,,,HOSA73226,
2-1/4,57,2,,HOSA73228,
2-3/8,60,,,HOSA73230,
2-1/2,64,2,,HOSA73232,
2-5/8,67,2-1/2,,HOSA73234,
2-3/4,70,TYP E B,,HOSA73236,
2-7/8,73,HOSA6,2591,HOSA73238,
3,76,2-1/2,,HOSA73240,
3-1/4,83,3,,HOSA73244,
3-1/2,89,,,HOSA73248,
3-3/4,95,3-1/2,,HOSA73252,
4,102,,,HOSA73256,
4-1/4,108,4,,HOSA73260,
4-1/2,114,4,,HOSA73264,
4-3/4,121,4-1/2,,HOSA73266,
5,127,,,HOSA73268,
5-1/2,140,,,HOSA73270,
6,152,,,HOSA73272,
