Hole Saw Size,Inches,MM,Brick,Reinforced Fiber-,Slate,Glass
5/8,16,620,1540,2140,920,
3/4,19,510,1280,1790,770,
–,20,470,1180,1660,715,
7/8,22,430,1090,1530,660,
1,25,380,960,1340,580,
1-1/8,29,340,850,1190,510,
1-1/4,32,310,770,1070,460,
1-3/8,35,280,700,980,420,
1-1/2,38,260,640,890,390,
1-3/4,44,220,550,770,330,
1-7/8,48,200,510,720,310,
2,51,190,480,670,290,
2-1/8,54,180,450,630,280,
2-1/4,57,170,430,600,270,
2-3/8,60,160,400,570,250,
2-1/2,64,150,380,540,230,
2-3/4,70,140,350,500,210,
3,76,130,320,450,190,
3-1/4,83,120,295,415,180,
3-3/8,86,115,285,400,175,
3-3/4,95,102,255,350,160,
4,102,95,240,330,150,
4-1/2,114,82,215,290,125,
