USE PIPE PIPE,DIA.,ARBOR,TAP,ENT.,STOCK#,TYPE,SIZE,SIZE.1
3/4,1/2,3/8,HOSA76004,,,,,
7/8,TYPE E,3/4,1/2,HOSA76006,,,,
1,HOSA76061,HOSA76007,,,,,,
1-1/8,1,3/4,HOSA76008,,,,,
1-1/4,HOSA76009,,,,,,,
1-3/8,1,HOSA76010,,,,,,
1-1/2,1-1/4,HOSA76011,,,,,,
1-3/4,1-1/2,1-1/4,HOSA76012,,,,,
1-7/8,HOSA76013,,,,,,,
2,1-1/2,HOSA76014,A,,,,,
2-1/8,HOSA76015,A,,,,,,
2-1/4,2,HOSA76016,,,,,,
2-3/8,TYP E F,HOSA76017,A,,,,,
2-1/2,HOSA 76062,2,HOSA76018,,,,,
2-3/4,HOSA76019,,,,,,,
3,2-1/2,HOSA76020,,,,,,
3-1/4,3,HOSA76021,,,,,,
3-3/8,HOSA76022,,,,,,,
3-3/4,3-1/2,HOSA76023,,,,,,
4,HOSA76024,,,,,,,
4-1/2,4,HOSA76025,,,,,,
6-3/8,HOSA76040,TYPE F,,,,,,
6-5/8,HOSA76041,TYPE F,,,,,,
HOSA76062,TYPE F,,,,,,,
6-7/8,HOSA76042,TYPE F,,,,,,
