DIA.,SHANK DIA.,STOCK #
"9/16\"", 3/8\"""""," ""CHC74350""",
"5/8\"", 3/8\"""""," ""CHC74351""",
"11/16\"", 3/8\"""""," ""CHC74352""",
"3/4\"", 3/8\"""""," ""CHC74353""",
"13/16\"", 3/8\"""""," ""CHC74354""",
"7/8\"", 3/8\"""""," ""CHC74355""",
"15/16\"", 3/8\"""""," ""CHC74356""",
"1\"", 3/8\"""""," ""CHC74357""",
"1-1/16\"", 3/8\"""""," ""CHC74358""",
"1-1/8\"", 3/8\"""""," ""CHC74359""",
"1-3/16\"", 3/8\"""""," ""CHC74360""",
"1-1/4\"", 3/8\"""""," ""CHC74361""",
"1-5/16\"", 3/8\"""""," ""CHC74362""",
"1-3/8\"", 3/8\"""""," ""CHC74363""",
"1-7/16\"", 3/8\"""""," ""CHC74364""",
"1-1/2\"", 3/8\"""""," ""CHC74365""",
"1-9/16\"", 3/8\"""""," ""CHC74366""",
"1-5/8\"", 3/8\"""""," ""CHC74367""",
"1-11/16\"", 3/8\"""""," ""CHC74368""",
"1-3/4\"", 3/8\"""""," ""CHC74369""",
"1-13/16\"", 3/8\"""""," ""CHC74370""",
"1-7/8\"", 3/8\"""""," ""CHC74371""",
"1-15/16\"", 3/8\"""""," ""CHC74372""",
"2\"", 3/8\"""""," ""CHC74373""",
"2-1/16\"", 3/8\"""""," ""CHC74374""",
"2-1/8\"", 3/8\"""""," ""CHC74375""",
"2-3/16\"", 3/8\"""""," ""CHC74376""",
"2-1/4\"", 3/8\"""""," ""CHC74377""",
"2-5/16\"", 3/8\"""""," ""CHC74378""",
"2-3/8\"", 3/8\"""""," ""CHC74379""",
"2-7/16\"", 3/8\"""""," ""CHC74380""",
"2-1/2\"", 3/8\"""""," ""CHC74381""",
"2-9/16\"", 3/8\"""""," ""CHC74382""",
"2-5/8\"", 1/2\"""""," ""CHC74383""",
"2-11/16\"", 1/2\"""""," ""CHC74384""",
"2-3/4\"", 1/2\"""""," ""CHC74385""",
"2-13/16\"", 1/2\"""""," ""CHC74386""",
"2-7/8\"", 1/2\"""""," ""CHC74387""",
"2-15/16\"", 1/2\"""""," ""CHC74388""",
"3\"", 1/2\"""""," ""CHC74389""",
